name_key,name,fld_proj_pg,bsr_proj_pg
felix reyes,Felix Reyes,-0.0094242,-0.0023112
stuart fairchild,Stuart Fairchild,-0.0099347,0.01588648
scott kingery,Scott Kingery,-0.0100635,0.01455403
sean keys,Sean Keys,-0.0107014,-0.0019
austin wynns,Austin Wynns,-0.011056,-0.0025377
luis urias,Luis Urias,-0.0114488,-0.0035547
oswaldo cabrera,Oswaldo Cabrera,-0.0129128,-0.0020796
jimmy crooks,Jimmy Crooks,-0.0136241,-0.0033053
eric wagaman,Eric Wagaman,-0.0140458,-0.0048376
kevin alcantara,Kevin Alcantara,-0.0150542,-0.0121375
yohel pozo,Yohel Pozo,-0.0162677,-0.0044304
carlos santana,Carlos Santana,-0.0166052,0.00084988
tommy pham,Tommy Pham,-0.0168847,1.96e-05
jhonny pereda,Jhonny Pereda,-0.0170532,-0.00407
rece hinds,Rece Hinds,-0.0187663,0.000786
